step,baseline,adopted
0,164,10
1,150,24
2,146,28
3,143,31
4,138,36
5,115,59
6,15,159
7,0,174
8,0,174
9,0,174
10,0,174
11,0,174
12,0,174
13,0,174
14,0,174
15,0,174
16,0,174
17,0,174
18,0,174
19,0,174
20,0,174
